2025-02-09 02:45:20,229 [INFO] Found template at (168, 49)
2025-02-09 02:45:20,230 [INFO] Click at client 1568, 1034
2025-02-09 02:45:20,230 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:21,295 [INFO] Found template at (168, 49)
2025-02-09 02:45:21,295 [INFO] Click at client 1568, 1034
2025-02-09 02:45:21,297 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:22,378 [INFO] Found template at (168, 49)
2025-02-09 02:45:22,378 [INFO] Click at client 1568, 1034
2025-02-09 02:45:22,379 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:23,445 [INFO] Found template at (168, 49)
2025-02-09 02:45:23,445 [INFO] Click at client 1568, 1034
2025-02-09 02:45:23,446 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:24,533 [INFO] Found template at (168, 49)
2025-02-09 02:45:24,534 [INFO] Click at client 1568, 1034
2025-02-09 02:45:24,534 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:25,596 [INFO] Found template at (168, 49)
2025-02-09 02:45:25,596 [INFO] Click at client 1568, 1034
2025-02-09 02:45:25,597 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:26,667 [INFO] Found template at (168, 49)
2025-02-09 02:45:26,667 [INFO] Click at client 1568, 1034
2025-02-09 02:45:26,667 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:27,751 [INFO] Found template at (168, 49)
2025-02-09 02:45:27,752 [INFO] Click at client 1568, 1034
2025-02-09 02:45:27,752 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:28,816 [INFO] Found template at (168, 49)
2025-02-09 02:45:28,817 [INFO] Click at client 1568, 1034
2025-02-09 02:45:28,817 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:29,903 [INFO] Found template at (168, 49)
2025-02-09 02:45:29,904 [INFO] Click at client 1568, 1034
2025-02-09 02:45:29,904 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:30,985 [INFO] Found template at (168, 49)
2025-02-09 02:45:30,986 [INFO] Click at client 1568, 1034
2025-02-09 02:45:30,987 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:32,037 [INFO] Found template at (168, 49)
2025-02-09 02:45:32,038 [INFO] Click at client 1568, 1034
2025-02-09 02:45:32,038 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:33,120 [INFO] Found template at (168, 49)
2025-02-09 02:45:33,121 [INFO] Click at client 1568, 1034
2025-02-09 02:45:33,121 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:34,175 [INFO] Found template at (168, 49)
2025-02-09 02:45:34,176 [INFO] Click at client 1568, 1034
2025-02-09 02:45:34,176 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:35,245 [INFO] Found template at (168, 49)
2025-02-09 02:45:35,246 [INFO] Click at client 1568, 1034
2025-02-09 02:45:35,246 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:36,329 [INFO] Found template at (168, 49)
2025-02-09 02:45:36,329 [INFO] Click at client 1568, 1034
2025-02-09 02:45:36,330 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:37,413 [INFO] Found template at (168, 49)
2025-02-09 02:45:37,413 [INFO] Click at client 1568, 1034
2025-02-09 02:45:37,413 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:38,497 [INFO] Found template at (168, 49)
2025-02-09 02:45:38,498 [INFO] Click at client 1568, 1034
2025-02-09 02:45:38,498 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:39,583 [INFO] Found template at (168, 49)
2025-02-09 02:45:39,583 [INFO] Click at client 1568, 1034
2025-02-09 02:45:39,584 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:40,679 [INFO] Found template at (168, 49)
2025-02-09 02:45:40,679 [INFO] Click at client 1568, 1034
2025-02-09 02:45:40,680 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:41,742 [INFO] Found template at (168, 49)
2025-02-09 02:45:41,742 [INFO] Click at client 1568, 1034
2025-02-09 02:45:41,743 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:42,806 [INFO] Found template at (168, 49)
2025-02-09 02:45:42,807 [INFO] Click at client 1568, 1034
2025-02-09 02:45:42,808 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:43,885 [INFO] Found template at (168, 49)
2025-02-09 02:45:43,885 [INFO] Click at client 1568, 1034
2025-02-09 02:45:43,885 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:44,977 [INFO] Found template at (168, 49)
2025-02-09 02:45:44,978 [INFO] Click at client 1568, 1034
2025-02-09 02:45:44,978 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:46,044 [INFO] Found template at (168, 49)
2025-02-09 02:45:46,045 [INFO] Click at client 1568, 1034
2025-02-09 02:45:46,045 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:47,111 [INFO] Found template at (168, 49)
2025-02-09 02:45:47,112 [INFO] Click at client 1568, 1034
2025-02-09 02:45:47,112 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:48,173 [INFO] Found template at (168, 49)
2025-02-09 02:45:48,174 [INFO] Click at client 1568, 1034
2025-02-09 02:45:48,174 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:49,227 [INFO] Found template at (168, 49)
2025-02-09 02:45:49,228 [INFO] Click at client 1568, 1034
2025-02-09 02:45:49,228 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:50,311 [INFO] Found template at (168, 49)
2025-02-09 02:45:50,312 [INFO] Click at client 1568, 1034
2025-02-09 02:45:50,313 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:51,399 [INFO] Found template at (168, 49)
2025-02-09 02:45:51,400 [INFO] Click at client 1568, 1034
2025-02-09 02:45:51,400 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:52,484 [INFO] Found template at (168, 49)
2025-02-09 02:45:52,485 [INFO] Click at client 1568, 1034
2025-02-09 02:45:52,485 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:53,539 [INFO] Found template at (168, 49)
2025-02-09 02:45:53,539 [INFO] Click at client 1568, 1034
2025-02-09 02:45:53,539 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:54,600 [INFO] Found template at (168, 49)
2025-02-09 02:45:54,601 [INFO] Click at client 1568, 1034
2025-02-09 02:45:54,601 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:55,685 [INFO] Found template at (168, 49)
2025-02-09 02:45:55,686 [INFO] Click at client 1568, 1034
2025-02-09 02:45:55,686 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:56,772 [INFO] Found template at (168, 49)
2025-02-09 02:45:56,772 [INFO] Click at client 1568, 1034
2025-02-09 02:45:56,772 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:57,856 [INFO] Found template at (168, 49)
2025-02-09 02:45:57,857 [INFO] Click at client 1568, 1034
2025-02-09 02:45:57,857 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:58,908 [INFO] Found template at (168, 49)
2025-02-09 02:45:58,909 [INFO] Click at client 1568, 1034
2025-02-09 02:45:58,909 [INFO] Click mouse at 1574, 1086
2025-02-09 02:45:59,995 [INFO] Found template at (168, 49)
2025-02-09 02:45:59,995 [INFO] Click at client 1568, 1034
2025-02-09 02:45:59,996 [INFO] Click mouse at 1574, 1086
2025-02-09 02:46:01,041 [INFO] Found template at (168, 49)
2025-02-09 02:46:01,041 [INFO] Click at client 1568, 1034
2025-02-09 02:46:01,041 [INFO] Click mouse at 1574, 1086
2025-02-09 02:46:02,095 [INFO] Found template at (168, 49)
2025-02-09 02:46:02,096 [INFO] Click at client 1568, 1034
2025-02-09 02:46:02,096 [INFO] Click mouse at 1574, 1086
2025-02-09 02:46:03,159 [INFO] Found template at (168, 49)
2025-02-09 02:46:03,159 [INFO] Click at client 1568, 1034
2025-02-09 02:46:03,159 [INFO] Click mouse at 1574, 1086
2025-02-09 02:46:04,232 [INFO] Found template at (168, 49)
2025-02-09 02:46:04,233 [INFO] Click at client 1568, 1034
2025-02-09 02:46:04,233 [INFO] Click mouse at 1574, 1086
2025-02-09 02:46:05,327 [INFO] Found template at (168, 49)
2025-02-09 02:46:05,327 [INFO] Buff slot confirm click timeout
2025-02-09 02:46:05,328 [INFO] Click until found 
2025-02-09 02:46:05,359 [INFO] Found template at (214, 49)
2025-02-09 02:46:05,359 [INFO] Click at client 314, 1034
2025-02-09 02:46:05,359 [INFO] Click mouse at 320, 1086
2025-02-09 02:46:06,445 [INFO] Click until found 
2025-02-09 02:46:06,470 [INFO] Found template at (176, 64)
2025-02-09 02:46:06,471 [INFO] Click at client 1451, 814
2025-02-09 02:46:06,471 [INFO] Click mouse at 1457, 866
2025-02-09 02:46:17,234 [INFO] Found template at (209, 66)
2025-02-09 02:46:17,267 [INFO] Click mouse at 965, 598
2025-02-09 02:46:18,330 [INFO] Click mouse at 965, 1098
2025-02-09 02:46:36,730 [INFO] Found template at (152, 53)
2025-02-09 02:46:36,763 [INFO] Found template at (152, 53)
2025-02-09 02:46:36,763 [INFO] Click until found QUIT_BUTTON
2025-02-09 02:46:36,766 [INFO] Found template at (152, 53)
2025-02-09 02:46:36,766 [INFO] Click at client 942, 1023
2025-02-09 02:46:36,766 [INFO] Click mouse at 948, 1075
2025-02-09 02:46:37,832 [INFO] Click until found EXTREME_TRAIL
2025-02-09 02:46:38,847 [INFO] Click until found EXTREME_TRAIL
2025-02-09 02:46:39,852 [INFO] Click until found EXTREME_TRAIL
2025-02-09 02:46:39,853 [INFO] Found template at (160, 49)
2025-02-09 02:46:39,853 [INFO] Click at client 1540, 324
2025-02-09 02:46:39,853 [INFO] Click mouse at 1546, 376
2025-02-09 02:46:40,907 [INFO] Click until found START_BUTTON
2025-02-09 02:46:40,928 [INFO] Found template at (205, 66)
2025-02-09 02:46:40,928 [INFO] Click at client 1805, 1041
2025-02-09 02:46:40,928 [INFO] Click mouse at 1811, 1093
2025-02-09 02:46:54,382 [INFO] Found template at (209, 66)
2025-02-09 02:46:54,415 [INFO] Click mouse at 965, 598
2025-02-09 02:46:55,462 [INFO] Click mouse at 965, 1098
2025-02-09 02:46:56,530 [INFO] Found template at (241, 259)
2025-02-09 02:46:56,531 [INFO] Click mouse at 1417, 586
2025-02-09 02:46:57,085 [INFO] Click until found 
2025-02-09 02:46:57,097 [INFO] Found template at (168, 49)
2025-02-09 02:46:57,098 [INFO] Click at client 1568, 1034
2025-02-09 02:46:57,098 [INFO] Click mouse at 1574, 1086
2025-02-09 02:47:03,608 [INFO] Found template at (209, 73)
2025-02-09 02:47:03,632 [INFO] Click mouse at 965, 605
2025-02-09 02:47:04,684 [INFO] Click mouse at 965, 1105
2025-02-09 02:47:13,399 [INFO] Found template at (209, 66)
2025-02-09 02:47:13,431 [INFO] Click mouse at 965, 598
2025-02-09 02:47:14,492 [INFO] Click mouse at 965, 1098
2025-02-09 02:47:21,006 [INFO] Found template at (209, 66)
2025-02-09 02:47:21,039 [INFO] Click mouse at 965, 598
2025-02-09 02:47:22,112 [INFO] Click mouse at 965, 1098
2025-02-09 02:47:31,863 [INFO] Found template at (209, 66)
2025-02-09 02:47:31,895 [INFO] Click mouse at 965, 598
2025-02-09 02:47:32,955 [INFO] Click mouse at 965, 1098
